Rank,Player,Age,Club,Market Value (€),Goals,Assists
1,Lamine Yamal,18,Barcelona,"200,000,000",8,10
2,Erling Haaland,24,Manchester City,"200,000,000",24,3
3,Kylian Mbappé,26,Real Madrid,"200,000,000",26,4
4,Jude Bellingham,22,Real Madrid,"160,000,000",4,4
5,Vinícius Júnior,24,Real Madrid,"150,000,000",6,9
6,Pedri,22,Barcelona,"140,000,000",2,6
7,Luis Diaz,28,Bayern Munich,"70,000,000",14,7
8,Michael Olise,22,Bayern Munich,"130,000,000",9,14
9,Bukayo Saka,23,Arsenal,"130,000,000",8,3
10,Cole Palmer,24,Chelsea,"120,000,000",3,0
11,Federico Valverde,26,Real Madrid,"120,000,000",0,4
12,Declan Rice,25,Arsenal,"120,000,000",2,6
13,Alexander Isak,24,Liverpool,"120,000,000",2,1
14,Moisés Caicedo,23,Chelsea,"110,000,000",4,1
15,João Neves,20,PSG,"110,000,000",6,2
16,Florian Wirtz,22,Liverpool,"110,000,000",0,5
17,Vitinha,24,PSG,"110,000,000",5,8
18,Julián Álvarez,24,Atlético Madrid,"100,000,000",11,4
19,Ousmane Dembélé,27,PSG,"100,000,000",3,3
20,Désiré Doué,20,PSG,"90,000,000",4,3
21,Arda Güler,20,Real Madrid,"90,000,000",3,7
22,Khvicha Kvaratskhelia,24,PSG,"90,000,000",5,5
23,William Saliba,23,Arsenal,"90,000,000",0,1
24,Ryan Gravenberch,23,Liverpool,"90,000,000",3,3
25,Hugo Ekitiké,22,Liverpool,"85,000,000",10,1
26,Dominik Szoboszlai,24,Liverpool,"85,000,000",5,5
27,Lautaro Martínez,27,Inter Milan,"85,000,000",15,5
28,Pau Cubarsí,18,Barcelona,"80,000,000",0,0
29,Enzo Fernández,24,Chelsea,"85,000,000",5,2
30,Bruno Guimarães,27,Newcastle United,"80,000,000",5,7
31,Raphinha,29,Barcelona,"80,000,000",6,3
32,Phil Foden,24,Manchester City,"80,000,000",10,4
33,Achraf Hakimi,31,PSG,"80,000,000",2,4
34,Martin Ødegaard,26,Arsenal,"75,000,000",0,2
35,Alessandro Bastoni,26,Inter Milan,"80,000,000",1,4
36,Kenan Yıldız,20,Juventus,"75,000,000",6,6
37,Nuno Mendes,22,PSG,"75,000,000",4,4
38,Alexis Mac Allister,26,Liverpool,"85,000,000",3,2
39,Rodri,29,Manchester City,"75,000,000",0,0
40,Gabriel Magalhães,26,Arsenal,"75,000,000",2,3
41,Aurélien Tchouaméni,24,Real Madrid,"75,000,000",0,0
42,Victor Osimhen,27,Galatasaray,"75,000,000",12,0
43,Sandro Tonali,24,Newcastle United,"75,000,000",0,3
44,Marcus Thuram,28,Inter Milan,"75,000,000",8,2
45,Bryan Mbeumo,26,Manchester United,"75,000,000",7,1
46,Harry Kane,31,Bayern Munich,"75,000,000",29,3
47,Dean Huijsen,19,Real Madrid,"70,000,000",1,1
48,Estevao,18,Chelsea,"80,000,000",9,1
49,Bradley Barcola,23,PSG,"70,000,000",5,3
50,Willian Pacho,24,PSG,"70,000,000",2,0